global_bar,layer,local_bar,entries,mean_ns,stddev_ns,stddev_error_ns,underflow,overflow,status
0,1,0,0,,,,0,0,insufficient_entries
1,1,1,0,,,,0,0,insufficient_entries
2,1,2,6,-30.130513408,5.81572980965,1.67885658557,0,0,insufficient_entries
3,1,3,12,-29.3382028937,4.6272741706,0.944538384827,0,0,insufficient_entries
4,1,4,8,-28.8416439335,3.50110361718,0.875275904295,0,0,insufficient_entries
5,1,5,7,-30.9692816614,4.67907566283,1.25053557265,0,0,insufficient_entries
6,1,6,11,-32.7161470495,4.30926160646,0.91873766146,0,0,insufficient_entries
7,1,7,0,,,,0,0,insufficient_entries
8,1,8,23,-29.6863584158,5.50446182561,0.811588619149,0,0,insufficient_entries
9,1,9,23,-28.6276683138,5.60115866912,0.825845790909,0,0,insufficient_entries
10,1,10,74,-28.7530628439,5.3665906743,0.441131036069,0,0,accepted
11,1,11,53,-28.5801065997,5.08769425354,0.494160550046,0,0,accepted
12,1,12,58,-29.0654926471,5.47554678249,0.50839175574,0,0,accepted
13,1,13,101,-28.5509123638,5.14386144611,0.361920828392,0,0,accepted
14,1,14,119,-28.0089216534,5.14482800021,0.333489666677,0,0,accepted
15,1,15,132,-28.3831985943,4.9510639217,0.304716920028,0,0,accepted
16,1,16,54,-29.3696264871,5.73985802641,0.55231809611,0,0,accepted
17,1,17,76,-28.4114495627,4.98114232123,0.404023993102,0,0,accepted
18,1,18,61,-30.0825287842,5.71774086093,0.517659934522,0,0,accepted
19,1,19,17,-27.7585324615,4.29209641901,0.736088463156,0,0,insufficient_entries
20,1,20,66,-30.6168271282,5.90080194998,0.513598885855,0,0,accepted
21,1,21,61,-27.7501560688,4.73292278859,0.428498695627,0,0,accepted
22,1,22,11,-23.0900700465,5.52872625485,1.17872839807,0,0,insufficient_entries
23,1,23,54,-27.4513697433,5.16229653416,0.496742215606,0,0,accepted
24,1,24,2,-33.6929576952,0.240261929399,0.1201309647,0,0,insufficient_entries
25,1,25,484,-27.5518880439,5.99839431496,0.192795695288,0,0,accepted
26,1,26,525,-28.6493802492,5.72235704068,0.176595772211,0,0,accepted
27,1,27,1010,-28.2697772487,5.48369831395,0.122010686106,0,0,accepted
28,1,28,1210,-26.9207159362,5.82541575568,0.11841841479,0,0,accepted
29,1,29,531,-27.2526541287,5.956816987,0.18278981739,0,0,accepted
30,1,30,480,-27.5744592774,5.64641589783,0.182237289484,0,0,accepted
31,1,31,373,-28.5181627701,5.55125989675,0.203246065295,0,0,accepted
32,1,32,972,-26.75765849,5.81081379687,0.131791933265,0,0,accepted
33,1,33,251,-27.8811383434,5.59254957027,0.249607702947,0,0,accepted
34,1,34,340,-29.0023318542,5.86944409934,0.225082906409,0,0,accepted
35,1,35,908,-28.0848387394,5.95880396353,0.139830263444,0,0,accepted
36,1,36,639,-29.0273860571,5.59499477598,0.156507177192,0,0,accepted
37,1,37,631,-26.920799924,6.14739346667,0.173045907895,0,0,accepted
38,1,38,124,-27.63294773,6.22273362684,0.395143980448,0,0,accepted
39,1,39,5,-35.5963737735,3.41393070631,1.07957968059,0,0,insufficient_entries
40,1,40,0,,,,0,0,insufficient_entries
41,1,41,0,,,,0,0,insufficient_entries
42,1,42,0,,,,0,0,insufficient_entries
43,1,43,0,,,,0,0,insufficient_entries
44,1,44,6,-31.5665028117,3.54355456217,1.02293609018,0,0,insufficient_entries
45,1,45,14,-29.2202776478,5.00888066366,0.946589470204,0,0,insufficient_entries
